datarole,datarole_group
Academic,Data Science & Research
Accounting,Other Roles
Accounting Staff,Other Roles
Admin,Admin & Support Role
AI Engineer,Data & Software Engineering 
Amazon Ppc Specialist,Data Analysis & Insights 
Analytics Engineer,Data & Software Engineering 
Application Support,Technical Support & IT Operations 
Appraiser,Other Roles
Aspiring Da,None
Auditor,Other Roles
Autocad Drafter,Other Roles
Automation,Other Roles
Business Analyst,Data Analysis & Insights 
Civil Engineer,Engineer
Compliance Analyst,Data Analysis & Insights 
Consulting,Consulting & Freelance
Content Production,Content
Cost Engineer,Engineer
Customer Service,Customer Service & Operations 
Customer Service & Technical Support,Customer Service & Operations 
Customer Support,Customer Service & Operations 
Customer Support And Data Coordinator,Customer Service & Operations 
Cybersecurity,Other Roles
Data Analyst,Data Analysis & Insights 
Data Consolidation,Data Processing & Entry 
Data Encoder,Data Processing & Entry 
Data Engineer,Data & Software Engineering 
Data Engineer Trainee,Data & Software Engineering 
Data Entry,Data Processing & Entry 
Data Entry With Analysis,Data Processing & Entry 
Data Processing Associate,Data Processing & Entry 
Data Quality,Data Processing & Entry 
Data Scientist,Data Science & Research
Data Strategist,Data Analysis & Insights 
Database Operations,Technical Support & IT Operations 
Desktop Support Engineer,Technical Support & IT Operations 
Developer,Data & Software Engineering 
Digital Marketing,Marketing
Document Controller,Data Processing & Entry 
Electrical Engineer,Engineer
Esl Tutor,Other Roles
Facility Operations,Technical Support & IT Operations 
Field Electrical Engineer,Engineer
Field Engineer,Engineer
Freelance,Consulting & Freelance
General Service,Other Roles
Geologist,Other Roles
GIS Specialist,Other Roles
Government Employee,Other Roles
Helpdesk,Technical Support & IT Operations 
Housekeeping,Other Roles
Hr Technical Recruiter,Other Roles
Innovation Consultant,Consulting & Freelance
Insights Analyst,Data Analysis & Insights 
IT,Technical Support & IT Operations 
IT Engineer,Technical Support & IT Operations 
IT Hardware,Technical Support & IT Operations 
IT Support,Technical Support & IT Operations 
IT Technical Support,Technical Support & IT Operations 
L2 Technical Support Engineer,Technical Support & IT Operations 
Machine Learning Engineer,Data & Software Engineering 
Management,Management & Leadership
Manager Plant's Recycling Management Facility,Management & Leadership
Manufacturing Engineer,Engineer
Multimedia Editor And Presentation,Content
N.A,None
Na,None
Network,Technical Support & IT Operations 
Network / VoIP Administrator,Technical Support & IT Operations 
Network Admin,Technical Support & IT Operations 
Network Administrator,Technical Support & IT Operations 
Network Tech,Technical Support & IT Operations 
Non Data Related,Other Roles
None,
Not Working,None
Not Working,
Operations,Customer Service & Operations 
Other Roles,Other Roles
Performance Engineer,Engineer
Planning,Other Roles
Plant Manager,Management & Leadership
Policy Analyst,Data Analysis & Insights 
Process Executive,Customer Service & Operations 
Process Executive (Agent),Other Roles
Procurement And Purchasing Process,Other Roles
Product Advocate,Management & Leadership
Production Support,Customer Service & Operations 
Production Support And Developer,Data & Software Engineering 
Professional Services,Management & Leadership
Program Manager,Management & Leadership
Providing Support To End Users,Technical Support & IT Operations 
QA Engineer,Data & Software Engineering 
Quality Control Analyst,Data Analysis & Insights 
R&D Technologist,Other Roles
Reporting,Data Analysis & Insights 
Reports,Data Analysis & Insights 
Reports Analyst,Data Analysis & Insights 
Reports Developer,Data & Software Engineering 
Research And Operations,Data Science & Research
Sap Abap Developer,Data & Software Engineering 
Software Engineer,Data & Software Engineering 
Software Engineer Front End Dev,Data & Software Engineering 
Student,None
Studying,None
Supervisory,Management & Leadership
Support,Technical Support & IT Operations 
Support Technician,Technical Support & IT Operations 
System Administrator,Technical Support & IT Operations 
System Tester (Manual),Technical Support & IT Operations 
Systems Engineer,Engineer
Tableau Consultant,Other Roles
Technical Support,Technical Support & IT Operations 
Technician,Other Roles
Trader,Other Roles
Ui/Ux Designer,Other Roles
Unemployed,None
Virtual Assistant,Admin & Support Role
Water Supply Engineer,Engineer
Web And Graphic Design,Other Roles
Web Developer,Data & Software Engineering 
Workforce Analyst,Data Analysis & Insights 
